UID,HPSA Name,Designation Type,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Withdrawn Date,County Name,Metropolitan Indicator,HPSA Population Type,HPSA Degree of Shortage,# of FTEs Short,HPSA Designation Population,% of Population Below 100% Poverty,Street Address,CITY,ZIP Code,Primary HHS Region Name,Rural Status,Longitude,Latitude
6509995021,Northeast Washington County Community Health Cente,Federally Qualified Health Center,7,VT,Designated,6/1/1977,12/14/2016,,Washington County,Non-Metropolitan,,,0,,,157 Towne Ave,Plainfield,05667-9425,Region I,Rural,-72.43157145,44.27758423
6539995316,Seattle and King County Jails,Correctional Facility,0,WA,Withdrawn,5/23/1978,10/2/1995,10/2/1995,,Metropolitan,,,0,,,,,,Region X,Unknown,-120.5562632,47.41125184
6139991301,Gracewood School,Other Facility,0,GA,Withdrawn,6/8/1978,1/29/1985,1/29/1985,,Metropolitan,,,0,,,,,,Region IV,Unknown,-83.4445344,32.64832455
6269992621,Wayne County Jail,Correctional Facility,0,MI,Withdrawn,7/25/1978,9/11/1985,9/11/1985,,Metropolitan,,,0,,,,,,Region V,Unknown,-84.19669749,44.12519983
6199991923,State Correctional Institutions,Correctional Facility,0,IA,Withdrawn,8/11/1978,3/8/1985,3/8/1985,,Non-Metropolitan,,,0,,,,,,Region VII,Unknown,-93.49997241,42.0746981
6399993979,Third Street Community,Federally Qualified Health Center,18,OH,Designated,8/14/1978,12/17/2014,,Richland County,Metropolitan,,,0,,,600 W 3rd St,Mansfield,44906-2633,Region V,Non-Rural,-82.53732974,40.76038751
6469994602,Human Services Center,Other Facility,0,SD,Withdrawn,8/30/1978,8/13/1984,8/13/1984,,Non-Metropolitan,,,0,,,,,,Region VIII,Unknown,-100.2305367,44.436128
6179991711,Statesville Correctional Institution,Correctional Facility,0,IL,Withdrawn,8/30/1978,10/2/1995,10/2/1995,,Metropolitan,,,0,,,,,,Region V,Unknown,-89.1586509,40.11404657
6179991710,Joliet Correctional Institution,Correctional Facility,0,IL,Withdrawn,8/30/1978,10/2/1995,10/2/1995,,Metropolitan,,,0,,,,,,Region V,Unknown,-89.1586509,40.11404657
6219992102,Kentucky State Reformatory,Correctional Facility,0,KY,Withdrawn,9/28/1978,2/14/1985,2/14/1985,,Non-Metropolitan,,,0,,,,,,Region IV,Unknown,-85.28762006,37.52723252
6539995301,Waashington State Correctional Institute,Correctional Facility,0,WA,Withdrawn,10/27/1978,3/16/1984,3/16/1984,,Metropolitan,,,0,,,,,,Region X,Unknown,-120.5562632,47.41125184
6269992606,Titus Greenwood Health Center,Other Facility,0,MI,Withdrawn,11/2/1978,9/11/1985,9/11/1985,,Metropolitan,,,0,,,,,,Region V,Unknown,-84.19669749,44.12519983
6269992605,Herman Keifer Health Complex,Other Facility,0,MI,Withdrawn,11/2/1978,9/11/1985,9/11/1985,,Metropolitan,,,0,,,,,,Region V,Unknown,-84.19669749,44.12519983
6379993702,Lincoln Community Health Center,Other Facility,0,NC,Withdrawn,12/19/1978,10/10/1984,10/10/1984,,Metropolitan,,,0,,,,,,Region IV,Unknown,-79.18541791,35.53934433
6129991201,Baker Correctional Institution,Correctional Facility,6,FL,Proposed For Withdrawal,3/23/1979,12/28/2018,,Baker County,Unknown,,0,0.31,908,,20706 US Highway 90,Sanderson,32087-2359,Region IV,Rural,-82.3727836,30.21628203
6122218303,Cross City Correctional Institution,Correctional Facility,12,FL,Designated,5/16/1979,7/6/2018,,Dixie County,Unknown,,12,1.95,2932,,568 NE 255th St,Cross City,32628-5877,Region IV,Rural,-83.09725364,29.63143872
6489994803,R.E. Thomason General Hospital,Other Facility,0,TX,Withdrawn,5/30/1979,5/21/1985,5/21/1985,,Metropolitan,,,0,,,,,,Region VI,Unknown,-99.33305008,31.46273304
6399993918,Justice Center/Cuyahoga,Correctional Facility,0,OH,Withdrawn,2/2/1982,10/2/1995,10/2/1995,,Metropolitan,,,0,,,,,,Region V,Unknown,-82.71121518,40.41305679
6179991719,Cook County Department of Correctional Complexes,Correctional Facility,0,IL,Withdrawn,3/1/1982,11/3/2011,11/3/2011,,Metropolitan,,,27.2,,,,,,Region V,Unknown,-89.1586509,40.11404657
6539995317,McNeil Island Correctional Center,Correctional Facility,0,WA,Withdrawn,5/26/1982,6/29/2012,6/29/2012,Pierce County,Metropolitan,,,0.5,,,1403 Commercial St,Steilacoom,98388-1305,Region X,Non-Rural,-122.6019542,47.17218222
6449994403,Central Health Center Providence,Other Facility,0,RI,Withdrawn,3/18/1983,2/28/2000,2/28/2000,,Metropolitan,,,0,,,,,,Region I,Unknown,-71.45431946,41.48871294
6449994402,Allen Berry Health Center,Other Facility,0,RI,Withdrawn,3/18/1983,2/28/2000,2/28/2000,,Metropolitan,,,0,,,,,,Region I,Unknown,-71.45431946,41.48871294
6539995305,Pierce County Jail,Correctional Facility,0,WA,Withdrawn,4/4/1983,10/2/1995,10/2/1995,,Metropolitan,,,0,,,,,,Region X,Unknown,-120.5562632,47.41125184
