AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US01001,"Autauga County, Alabama",13.7,17.9
0500000US01003,"Baldwin County, Alabama",11.8,21.6
0500000US01005,"Barbour County, Alabama",27.2,23.4
0500000US01007,"Bibb County, Alabama",15.2,20.5
0500000US01009,"Blount County, Alabama",15.6,21.1
0500000US01011,"Bullock County, Alabama",28.5,17.8
0500000US01013,"Butler County, Alabama",24.4,24.2
0500000US01015,"Calhoun County, Alabama",18.6,21.4
0500000US01017,"Chambers County, Alabama",18.8,23.7
0500000US01019,"Cherokee County, Alabama",16.1,27.1
0500000US01021,"Chilton County, Alabama",19.4,19.1
0500000US01023,"Choctaw County, Alabama",22.3,27.7
0500000US01025,"Clarke County, Alabama",25.3,23.2
0500000US01027,"Clay County, Alabama",19.1,23.8
0500000US01029,"Cleburne County, Alabama",19.1,22.4
0500000US01031,"Coffee County, Alabama",16.1,19.7
0500000US01033,"Colbert County, Alabama",16.8,23.9
0500000US01035,"Conecuh County, Alabama",26.4,27
0500000US01037,"Coosa County, Alabama",14.4,28.7
0500000US01039,"Covington County, Alabama",17.6,23.8
0500000US01041,"Crenshaw County, Alabama",17.6,22.1
0500000US01043,"Cullman County, Alabama",16.4,21.7
0500000US01045,"Dale County, Alabama",19.6,20.6
0500000US01047,"Dallas County, Alabama",31.9,20.2
0500000US01049,"DeKalb County, Alabama",21.5,20.7
0500000US01051,"Elmore County, Alabama",13.5,17.7
0500000US01053,"Escambia County, Alabama",23.8,22.9
0500000US01055,"Etowah County, Alabama",17.9,22.9
0500000US01057,"Fayette County, Alabama",18.1,25.2
0500000US01059,"Franklin County, Alabama",23,20.2
0500000US01061,"Geneva County, Alabama",22.5,22.6
0500000US01063,"Greene County, Alabama",38.8,23.3
0500000US01065,"Hale County, Alabama",26.1,23.5
0500000US01067,"Henry County, Alabama",13.7,25.5
0500000US01069,"Houston County, Alabama",18.5,20.3
0500000US01071,"Jackson County, Alabama",19,24.8
0500000US01073,"Jefferson County, Alabama",17.6,17.8
0500000US01075,"Lamar County, Alabama",23.1,24.3
0500000US01077,"Lauderdale County, Alabama",16.3,21.6
0500000US01079,"Lawrence County, Alabama",16.6,20.7
0500000US01081,"Lee County, Alabama",22,13.6
0500000US01083,"Limestone County, Alabama",14.8,17.6
0500000US01085,"Lowndes County, Alabama",30.2,23.1
0500000US01087,"Macon County, Alabama",25.9,21.9
0500000US01089,"Madison County, Alabama",13.6,15.8
0500000US01091,"Marengo County, Alabama",25.6,24.3
0500000US01093,"Marion County, Alabama",17.6,24.7
0500000US01095,"Marshall County, Alabama",21,19.8
0500000US01097,"Mobile County, Alabama",19.3,18.3
0500000US01099,"Monroe County, Alabama",33.7,21.9
0500000US01101,"Montgomery County, Alabama",20.8,17.2
0500000US01103,"Morgan County, Alabama",16.6,19.7
0500000US01105,"Perry County, Alabama",41.9,22.7
0500000US01107,"Pickens County, Alabama",22.9,24.6
0500000US01109,"Pike County, Alabama",26.3,17.7
0500000US01111,"Randolph County, Alabama",18.7,23.8
0500000US01113,"Russell County, Alabama",20.9,16.9
0500000US01115,"St. Clair County, Alabama",13.7,19.4
0500000US01117,"Shelby County, Alabama",8.3,15.2
0500000US01119,"Sumter County, Alabama",36,22.3
0500000US01121,"Talladega County, Alabama",19.3,22.3
0500000US01123,"Tallapoosa County, Alabama",21.2,24.6
0500000US01125,"Tuscaloosa County, Alabama",17.3,15.1
0500000US01127,"Walker County, Alabama",21.5,23.8
0500000US01129,"Washington County, Alabama",22,25.5
0500000US01131,"Wilcox County, Alabama",31.9,24.1
0500000US01133,"Winston County, Alabama",18.7,26.8
0500000US02013,"Aleutians East Borough, Alaska",16.7,7.5
0500000US02016,"Aleutians West Census Area, Alaska",7.5,4.8
0500000US02020,"Anchorage Municipality, Alaska",8.1,10.3
0500000US02050,"Bethel Census Area, Alaska",27,6.8
0500000US02060,"Bristol Bay Borough, Alaska",7.1,10.6
0500000US02068,"Denali Borough, Alaska",15.5,7.8
0500000US02070,"Dillingham Census Area, Alaska",16.6,8
0500000US02090,"Fairbanks North Star Borough, Alaska",7.7,9.8
0500000US02100,"Haines Borough, Alaska",8.4,20.3
0500000US02105,"Hoonah-Angoon Census Area, Alaska",11.1,21.3
0500000US02110,"Juneau City and Borough, Alaska",7.4,11.8
0500000US02122,"Kenai Peninsula Borough, Alaska",11,17.3
0500000US02130,"Ketchikan Gateway Borough, Alaska",10.6,14.6
0500000US02150,"Kodiak Island Borough, Alaska",9.3,9.7
0500000US02158,"Kusilvak Census Area, Alaska",39.1,5.5
0500000US02164,"Lake and Peninsula Borough, Alaska",16.5,7.8
0500000US02170,"Matanuska-Susitna Borough, Alaska",9.8,11.5
0500000US02180,"Nome Census Area, Alaska",24.9,7.6
0500000US02185,"North Slope Borough, Alaska",10.2,5.9
0500000US02188,"Northwest Arctic Borough, Alaska",25.3,7.4
0500000US02195,"Petersburg Borough, Alaska",7.8,17.9
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",16,15.3
0500000US02220,"Sitka City and Borough, Alaska",9.2,14.7
0500000US02230,"Skagway Municipality, Alaska",5.6,10.5
0500000US02240,"Southeast Fairbanks Census Area, Alaska",13.9,13.2
0500000US02261,"Valdez-Cordova Census Area, Alaska",7.4,11.8
0500000US02275,"Wrangell City and Borough, Alaska",11.7,23.5
0500000US02282,"Yakutat City and Borough, Alaska",6.2,14.7
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",25.5,12.6
0500000US04001,"Apache County, Arizona",35.9,15.4
0500000US04003,"Cochise County, Arizona",18.1,24.8
0500000US04005,"Coconino County, Arizona",21,13
0500000US04007,"Gila County, Arizona",21.9,29.8
0500000US04009,"Graham County, Arizona",21.4,16.7
0500000US04011,"Greenlee County, Arizona",11.5,14.8
0500000US04012,"La Paz County, Arizona",19.7,39.2
0500000US04013,"Maricopa County, Arizona",15.7,15.3
0500000US04015,"Mohave County, Arizona",18.6,32.1
0500000US04017,"Navajo County, Arizona",29.1,19.1
0500000US04019,"Pima County, Arizona",18.3,20
0500000US04021,"Pinal County, Arizona",15.5,21.8
0500000US04023,"Santa Cruz County, Arizona",21.8,21.2
0500000US04025,"Yavapai County, Arizona",14.7,31.6
0500000US04027,"Yuma County, Arizona",19.7,18.3
0500000US05001,"Arkansas County, Arkansas",20.7,22.2
0500000US05003,"Ashley County, Arkansas",21.3,22.6
0500000US05005,"Baxter County, Arkansas",12.6,34.9
